movie,year,imdb,metascore,votes,genres,descriptions,n_imdb,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War
First Man,2018,7.3,84,178849,"Biography, Drama, History","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",73.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Red Sparrow,2018,6.6,53,176098,"Action, Drama, Thriller","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",66.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Upgrade,2018,7.5,67,172570,"Action, Sci-Fi, Thriller","Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
The Meg,2018,5.6,46,160788,"Action, Horror, Sci-Fi",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,56.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Crazy Rich Asians,2018,6.9,74,156346,"Comedy, Drama, Romance","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",69.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Rampage,2018,6.1,45,155142,"Action, Adventure, Sci-Fi","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",61.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Searching,2018,7.6,71,152132,"Drama, Mystery, Thriller","After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",76.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Isle of Dogs,2018,7.9,82,151936,"Animation, Adventure, Comedy","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",79.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumblebee,2018,6.7,66,151424,"Action, Adventure, Sci-Fi","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",67.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Roma,2018,7.7,96,148804,Drama,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,77.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Equalizer 2,2018,6.7,50,145730,"Action, Crime, Thriller","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",67.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ralph Breaks the Internet,2018,7.0,71,144825,"Animation, Adventure, Comedy","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",70.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Simple Favor,2018,6.8,67,139499,"Comedy, Crime, Mystery","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",68.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Bad Times at the El Royale,2018,7.1,60,138594,"Crime, Drama, Mystery","Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",71.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Sicario: Day of the Soldado,2018,7.1,61,136414,"Action, Adventure, Crime","The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",71.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ballad of Buster Scruggs,2018,7.3,79,133691,"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",73.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Vice,2018,7.2,61,133527,"Biography, Comedy, Drama","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",72.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
